Time;Generator 1 aktivno primanje;Generator 1 aktivno davanje;Generator 1 reaktivno primanje;Generator 1 reaktivno davanje;Generator 2 aktivno primanje;Generator 2 aktivno davanje;Generator 2 reaktivno primanje;Generator 2 reaktivno davanje;Generator 3 aktivno primanje;Generator 3 aktivno davanje;Generator 3 reaktivno primanje;Generator 3 reaktivno davanje
;kWh;kWh;kvarh;kvarh;kWh;kWh;kvarh;kvarh;kWh;kWh;kvarh;kvarh
1.1.2025 01:00;0;11.781;0;2.508;0;0;0;0;0;0;0;0
1.1.2025 02:00;0;14.405;0;1.584;0;0;0;0;0;0;0;0
1.1.2025 03:00;0;11.798;231;215;0;0;0;0;0;0;0;0
1.1.2025 04:00;0;11.781;215;149;0;0;0;0;0;0;0;0
1.1.2025 05:00;0;11.781;0;891;0;0;0;0;0;0;0;0
1.1.2025 06:00;0;11.781;0;429;0;0;0;0;0;0;0;0
1.1.2025 07:00;0;11.781;17;974;0;0;0;0;0;0;0;0
1.1.2025 08:00;0;11.798;792;33;0;0;0;0;0;0;0;0
1.1.2025 09:00;0;11.781;182;875;0;0;0;0;0;0;0;0
1.1.2025 10:00;0;11.814;0;677;0;0;0;0;0;0;0;0
1.1.2025 11:00;0;11.781;0;1.304;0;0;0;0;0;0;0;0
1.1.2025 12:00;0;11.814;380;380;0;0;0;0;0;0;0;0
1.1.2025 13:00;0;11.814;281;281;0;0;0;0;0;0;0;0
1.1.2025 14:00;0;11.798;33;116;0;0;0;0;0;0;0;0
1.1.2025 15:00;0;11.814;17;1.502;0;0;0;0;0;0;0;0
1.1.2025 16:00;0;14.768;50;594;0;0;0;0;0;0;0;0
1.1.2025 17:00;0;16.335;215;611;0;0;0;0;0;0;0;0
1.1.2025 18:00;0;19.718;1.304;330;0;0;0;0;0;0;0;0
1.1.2025 19:00;0;19.734;1.601;0;0;0;0;0;0;0;0;0
1.1.2025 20:00;0;20.609;660;0;0;0;0;0;0;0;0;0
1.1.2025 21:00;0;23.661;462;17;0;0;0;0;0;0;0;0
1.1.2025 22:00;0;23.678;1.403;0;0;0;0;0;0;0;0;0
1.1.2025 23:00;0;18.860;17;1.485;0;0;0;0;0;0;0;0
2.1.2025 00:00;0;13.398;0;1.007;0;0;0;0;0;0;0;0
2.1.2025 01:00;0;11.798;66;875;0;0;0;0;0;0;0;0
2.1.2025 02:00;0;11.781;0;1.815;0;0;0;0;0;0;0;0
2.1.2025 03:00;0;11.781;0;1.073;0;0;0;0;0;0;0;0
2.1.2025 04:00;0;11.798;182;264;0;0;0;0;0;0;0;0
2.1.2025 05:00;0;11.781;0;1.749;0;0;0;0;0;0;0;0
2.1.2025 06:00;0;11.781;0;2.657;0;0;0;0;0;0;0;0
2.1.2025 07:00;0;16.731;0;1.650;0;0;0;0;0;0;0;0
2.1.2025 08:00;0;16.748;776;198;0;0;0;0;0;0;0;0
2.1.2025 09:00;0;16.764;50;941;0;0;0;0;0;0;0;0
2.1.2025 10:00;0;16.781;0;2.409;0;0;0;0;0;0;0;0
2.1.2025 11:00;0;16.748;0;2.954;0;0;0;0;0;0;0;0
2.1.2025 12:00;0;14.999;0;2.541;0;0;0;0;0;0;0;0
2.1.2025 13:00;0;14.784;0;1.799;0;0;0;0;0;0;0;0
2.1.2025 14:00;0;14.784;0;1.980;0;0;0;0;0;0;0;0
2.1.2025 15:00;0;14.784;165;231;0;0;0;0;0;0;0;0
2.1.2025 16:00;0;16.434;17;1.469;0;0;0;0;0;0;0;0
2.1.2025 17:00;0;21.219;0;1.172;0;0;0;0;0;0;0;0
2.1.2025 18:00;0;23.645;17;660;0;0;0;0;0;0;0;0
2.1.2025 19:00;0;23.678;578;149;0;0;0;0;0;0;0;0
2.1.2025 20:00;0;22.985;396;50;0;0;0;0;0;0;0;0
2.1.2025 21:00;0;19.701;429;0;0;0;0;0;0;0;0;0
2.1.2025 22:00;0;20.873;1.436;0;0;0;0;0;0;0;0;0
2.1.2025 23:00;0;23.678;974;0;0;0;0;0;0;0;0;0
3.1.2025 00:00;0;23.199;2.046;0;0;0;0;0;0;0;0;0
3.1.2025 01:00;0;14.999;561;314;0;0;0;0;0;0;0;0
3.1.2025 02:00;0;13.580;297;528;0;0;0;0;0;0;0;0
3.1.2025 03:00;0;13.794;1.584;0;0;0;0;0;0;0;0;0
3.1.2025 04:00;0;13.778;2.574;0;0;0;0;0;0;0;0;0
3.1.2025 05:00;0;13.778;2.145;0;0;0;0;0;0;0;0;0
3.1.2025 06:00;0;13.778;1.139;182;0;0;0;0;0;0;0;0
3.1.2025 07:00;0;19.107;726;264;0;0;0;0;0;0;0;0
3.1.2025 08:00;0;23.661;2.376;0;0;0;0;0;0;0;0;0
3.1.2025 09:00;0;20.081;33;1.023;0;3.713;0;413;0;957;0;33
3.1.2025 10:00;0;14.784;0;1.419;0;15.048;0;1.386;0;0;0;0
3.1.2025 11:00;0;13.349;0;2.492;0;13.613;0;2.178;0;0;0;0
3.1.2025 12:00;0;13.794;0;2.921;0;14.042;0;2.591;0;0;0;0
3.1.2025 13:00;0;16.319;17;611;0;16.599;99;330;0;0;0;0
3.1.2025 14:00;0;11.798;0;1.980;0;12.045;0;1.634;0;0;0;0
